"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT08","WT11","WT14","WT16","WT18"
"USC00047916","SANTA CRUZ, CA US","1893-06-05","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-06","0.00","79",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-07","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-08","0.00","78",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-09","0.00","79",,,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-10","0.00","80",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-11","0.00","76",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-12","0.00","70",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-13","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-14","0.00","79",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-15","0.00","84",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-16","0.00","83",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-17","0.00","83",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-18","0.00","82",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-19","0.00","76",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-20","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-21","0.00","77","44",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-22","0.00","74","53",,,,,,,"    1",,,
"USC00047916","SANTA CRUZ, CA US","1893-06-23","0.00","82","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-24","0.00","79","43",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-25","0.00","80","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-26","0.00","80","43",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-27","0.00","80","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-28","0.00","77","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-29","0.00","83","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-30","0.00","82","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-01","0.00","76","46",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-02","0.00","74","47",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-03","0.00","79","48",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-04","0.00","77","45",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-05","0.00","77","45",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-06","0.00","74","45",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-07","0.00","75","47",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-08","0.00","81","47",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-09","0.00","80","47",,,,,,,"    1",,,
"USC00047916","SANTA CRUZ, CA US","1893-07-10","0.00","80","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-11","0.00","85","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-12","0.00","82","48",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-13","0.00","79","47",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-14","0.00","75","47",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-15","0.00","69","50",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-16","0.00","75","50",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-17","0.00","75","51",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-18","0.00","77","49",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-19","0.00","77","48",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-20","0.00","77","49",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-21","0.00","81","52",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-22","0.00","83","48",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-23","0.00","78","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-24","0.00","68","48",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-25","0.00","68","53",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-26","0.00","73","52",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-27","0.00","75","51",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-28","0.00","72","49",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-29","0.00","80","52",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-30","0.00","79","51",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-07-31","0.00","82","51",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-01",,"78","50",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-02",,"85","49",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-03",,"85","45",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-04",,"75","52",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-05",,"73","53",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-06",,"77","54",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-07",,"70","47",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-08",,"68","50",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-09",,"74","52",,"    1",,,,,,,,
